dt      ,x        ,y        ,position ,velocity,acceleration,jerk       ,heading
0.020000,5.747928 ,15.750002,0.000057 ,0.005712,0.285580    ,14.278997  ,6.281528
0.020000,5.747962 ,15.750002,0.000091 ,0.001718,-0.199678   ,-24.262898 ,6.281555
0.020000,5.748040 ,15.750002,0.000169 ,0.003865,0.107372    ,15.352516  ,6.281617
0.020000,5.748177 ,15.750001,0.000306 ,0.006872,0.150307    ,2.146734   ,6.281727
0.020000,5.748392 ,15.750001,0.000521 ,0.010736,0.193220    ,2.145639   ,6.281899
0.020000,5.748701 ,15.750001,0.000830 ,0.015458,0.236097    ,2.143844   ,6.282146
0.020000,5.749122 ,15.750000,0.001251 ,0.021036,0.278920    ,2.141167   ,6.282483
0.020000,5.749662 ,15.750000,0.001792 ,0.027041,0.300210    ,1.064524   ,6.282915
0.020000,5.752475 ,15.750000,0.004605 ,0.140645,5.680241    ,269.001523 ,0.000259
0.020000,5.758454 ,15.750004,0.010583 ,0.298942,7.914821    ,111.729003 ,0.000883
0.020000,5.765351 ,15.750012,0.017480 ,0.344854,2.295600    ,-280.961053,0.001604
0.020000,5.773170 ,15.750028,0.025299 ,0.390913,2.302978    ,0.368926   ,0.002420
0.020000,5.781905 ,15.750053,0.034035 ,0.436793,2.293959    ,-0.450954  ,0.003333
0.020000,5.791562 ,15.750090,0.043692 ,0.482851,2.302906    ,0.447333   ,0.004341
0.020000,5.802137 ,15.750142,0.054267 ,0.528756,2.295257    ,-0.382437  ,0.005444
0.020000,5.813631 ,15.750211,0.065760 ,0.574676,2.295999    ,0.037111   ,0.006644
0.020000,5.826044 ,15.750302,0.078174 ,0.620691,2.300769    ,0.238461   ,0.007938
0.020000,5.839376 ,15.750417,0.091506 ,0.666606,2.295747    ,-0.251109  ,0.009328
0.020000,5.853625 ,15.750561,0.105757 ,0.712522,2.295805    ,0.002933   ,0.010813
0.020000,5.868793 ,15.750737,0.120925 ,0.758435,2.295632    ,-0.008639  ,0.012393
0.020000,5.884878 ,15.750949,0.137012 ,0.804339,2.295205    ,-0.021357  ,0.014068
0.020000,5.901881 ,15.751204,0.154017 ,0.850229,2.294527    ,-0.033934  ,0.015837
0.020000,5.919801 ,15.751504,0.171939 ,0.896101,2.293599    ,-0.046360  ,0.017701
0.020000,5.938636 ,15.751856,0.190778 ,0.941950,2.292427    ,-0.058621  ,0.019658
0.020000,5.958389 ,15.752265,0.210534 ,0.987820,2.293522    ,0.054756   ,0.021710
0.020000,5.979057 ,15.752736,0.231207 ,1.033668,2.292372    ,-0.057481  ,0.023855
0.020000,6.000639 ,15.753275,0.252796 ,1.079437,2.288433    ,-0.196978  ,0.026093
0.020000,6.023135 ,15.753888,0.275301 ,1.125247,2.290520    ,0.104338   ,0.028425
0.020000,6.046545 ,15.754582,0.298721 ,1.171009,2.288106    ,-0.120658  ,0.030848
0.020000,6.070867 ,15.755363,0.323056 ,1.216746,2.286866    ,-0.062011  ,0.033364
0.020000,6.096101 ,15.756238,0.348305 ,1.262445,2.284943    ,-0.096151  ,0.035972
0.020000,6.122246 ,15.757215,0.374469 ,1.308169,2.286179    ,0.061795   ,0.038671
0.020000,6.149300 ,15.758299,0.401544 ,1.353791,2.281093    ,-0.254312  ,0.041461
0.020000,6.177263 ,15.759500,0.429532 ,1.399397,2.280314    ,-0.038961  ,0.044340
0.020000,6.206133 ,15.760823,0.458433 ,1.445016,2.280934    ,0.030998   ,0.047310
0.020000,6.235908 ,15.762279,0.488244 ,1.490565,2.277488    ,-0.172278  ,0.050369
0.020000,6.266588 ,15.763874,0.518965 ,1.536065,2.274998    ,-0.124505  ,0.053516
0.020000,6.298171 ,15.765617,0.550596 ,1.581524,2.272952    ,-0.102319  ,0.056751
0.020000,6.330654 ,15.767516,0.583134 ,1.626936,2.270594    ,-0.117879  ,0.060073
0.020000,6.364036 ,15.769581,0.616580 ,1.672297,2.268046    ,-0.127389  ,0.063481
0.020000,6.398316 ,15.771821,0.650933 ,1.717653,2.267776    ,-0.013516  ,0.066974
0.020000,6.433491 ,15.774243,0.686191 ,1.762902,2.262472    ,-0.265205  ,0.070552
0.020000,6.469558 ,15.776858,0.722353 ,1.808080,2.258903    ,-0.178460  ,0.074213
0.020000,6.506515 ,15.779676,0.759418 ,1.853232,2.257606    ,-0.064832  ,0.077957
0.020000,6.544360 ,15.782705,0.797384 ,1.898317,2.254233    ,-0.168665  ,0.081783
0.020000,6.583090 ,15.785956,0.836250 ,1.943298,2.249036    ,-0.259848  ,0.085688
0.020000,6.622702 ,15.789438,0.876015 ,1.988252,2.247721    ,-0.065729  ,0.089673
0.020000,6.663194 ,15.793161,0.916677 ,2.033099,2.242331    ,-0.269511  ,0.093736
0.020000,6.704560 ,15.797137,0.958234 ,2.077846,2.237363    ,-0.248415  ,0.097876
0.020000,6.746799 ,15.801374,1.000685 ,2.122569,2.236168    ,-0.059721  ,0.102091
0.020000,6.789907 ,15.805884,1.044029 ,2.167160,2.229529    ,-0.331934  ,0.106380
0.020000,6.833880 ,15.810677,1.088262 ,2.211655,2.224769    ,-0.238038  ,0.110741
0.020000,6.878713 ,15.815763,1.133383 ,2.256057,2.220106    ,-0.233133  ,0.115173
0.020000,6.924404 ,15.821153,1.179390 ,2.300359,2.215071    ,-0.251736  ,0.119674
0.020000,6.970947 ,15.826857,1.226281 ,2.344552,2.209680    ,-0.269575  ,0.124242
0.020000,7.018337 ,15.832887,1.274054 ,2.388631,2.203947    ,-0.286643  ,0.128876
0.020000,7.066571 ,15.839253,1.322705 ,2.432589,2.197888    ,-0.302938  ,0.133574
0.020000,7.115642 ,15.845966,1.372234 ,2.476429,2.191967    ,-0.296059  ,0.138333
0.020000,7.165547 ,15.853037,1.422637 ,2.520169,2.187008    ,-0.247973  ,0.143152
0.020000,7.216279 ,15.860476,1.473912 ,2.563733,2.178225    ,-0.439113  ,0.148029
0.020000,7.267833 ,15.868294,1.526056 ,2.607179,2.172280    ,-0.297283  ,0.152962
0.020000,7.320204 ,15.876501,1.579066 ,2.650495,2.165788    ,-0.324598  ,0.157947
0.020000,7.373385 ,15.885109,1.632938 ,2.693644,2.157478    ,-0.415508  ,0.162983
0.020000,7.427370 ,15.894128,1.687671 ,2.736652,2.150417    ,-0.353030  ,0.168068
0.020000,7.482153 ,15.903567,1.743262 ,2.779515,2.143141    ,-0.363775  ,0.173199
0.020000,7.537727 ,15.913439,1.799706 ,2.822195,2.134008    ,-0.456663  ,0.178373
0.020000,7.594085 ,15.923751,1.857000 ,2.864717,2.126082    ,-0.396318  ,0.183588
0.020000,7.651222 ,15.934516,1.915142 ,2.907077,2.118013    ,-0.403458  ,0.188840
0.020000,7.709129 ,15.945742,1.974127 ,2.949263,2.109259    ,-0.437674  ,0.194128
0.020000,7.767799 ,15.957439,2.033952 ,2.991260,2.099880    ,-0.468975  ,0.199449
0.020000,7.827226 ,15.969617,2.094613 ,3.033074,2.090706    ,-0.458701  ,0.204798
0.020000,7.887401 ,15.982285,2.156108 ,3.074705,2.081519    ,-0.459330  ,0.210174
0.020000,7.948317 ,15.995452,2.218430 ,3.116144,2.071985    ,-0.476702  ,0.215573
0.020000,8.009966 ,16.009128,2.281578 ,3.157380,2.061778    ,-0.510368  ,0.220993
0.020000,8.072340 ,16.023319,2.345546 ,3.198412,2.051620    ,-0.507891  ,0.226429
0.020000,8.135432 ,16.038036,2.410331 ,3.239247,2.041744    ,-0.493818  ,0.231879
0.020000,8.199232 ,16.053285,2.475929 ,3.279875,2.031413    ,-0.516518  ,0.237339
0.020000,8.263733 ,16.069075,2.542334 ,3.320281,2.020278    ,-0.556744  ,0.242806
0.020000,8.328927 ,16.085412,2.609544 ,3.360486,2.010247    ,-0.501544  ,0.248276
0.020000,8.394805 ,16.102305,2.677553 ,3.400460,1.998718    ,-0.576479  ,0.253747
0.020000,8.461358 ,16.119760,2.746358 ,3.440217,1.987846    ,-0.543569  ,0.259214
0.020000,8.528579 ,16.137782,2.815953 ,3.479754,1.976854    ,-0.549606  ,0.264674
0.020000,8.596459 ,16.156379,2.886334 ,3.519059,1.965227    ,-0.581394  ,0.270123
0.020000,8.664989 ,16.175556,2.957497 ,3.558136,1.953845    ,-0.569057  ,0.275557
0.020000,8.734162 ,16.195317,3.029436 ,3.596982,1.942310    ,-0.576750  ,0.280973
0.020000,8.803967 ,16.215668,3.102148 ,3.635595,1.930648    ,-0.583121  ,0.286368
0.020000,8.874398 ,16.236614,3.175628 ,3.673973,1.918883    ,-0.588268  ,0.291737
0.020000,8.945446 ,16.258157,3.249870 ,3.712113,1.907037    ,-0.592288  ,0.297076
0.020000,9.017102 ,16.280302,3.324870 ,3.750016,1.895131    ,-0.595282  ,0.302382
0.020000,9.089359 ,16.303052,3.400624 ,3.787680,1.883184    ,-0.597349  ,0.307651
0.020000,9.162208 ,16.326410,3.477126 ,3.825104,1.871205    ,-0.598967  ,0.312879
0.020000,9.235642 ,16.350377,3.554372 ,3.862283,1.858954    ,-0.612541  ,0.318062
0.020000,9.309652 ,16.374955,3.632356 ,3.899225,1.847093    ,-0.593044  ,0.323197
0.020000,9.384231 ,16.400147,3.711074 ,3.935922,1.834871    ,-0.611116  ,0.328279
0.020000,9.459371 ,16.425951,3.790522 ,3.972376,1.822715    ,-0.607791  ,0.333305
0.020000,9.535065 ,16.452369,3.870694 ,4.008588,1.810596    ,-0.605938  ,0.338270
0.020000,9.611306 ,16.479401,3.951585 ,4.044560,1.798577    ,-0.600973  ,0.343171
0.020000,9.688086 ,16.507046,4.033191 ,4.080280,1.786026    ,-0.627564  ,0.348004
0.020000,9.765400 ,16.535302,4.115506 ,4.115766,1.774268    ,-0.587899  ,0.352765
0.020000,9.843240 ,16.564168,4.198526 ,4.151007,1.762078    ,-0.609481  ,0.357450
0.020000,9.921600 ,16.593642,4.282246 ,4.186005,1.749903    ,-0.608771  ,0.362056
0.020000,10.000475,16.623721,4.366661 ,4.220760,1.737752    ,-0.607527  ,0.366578
0.020000,10.079858,16.654402,4.451767 ,4.255273,1.725634    ,-0.605885  ,0.371012
0.020000,10.159743,16.685680,4.537558 ,4.289544,1.713555    ,-0.603978  ,0.375355
0.020000,10.240127,16.717553,4.624029 ,4.323574,1.701516    ,-0.601934  ,0.379603
0.020000,10.321003,16.750014,4.711176 ,4.357365,1.689519    ,-0.599877  ,0.383752
0.020000,10.402366,16.783059,4.798995 ,4.390916,1.677560    ,-0.597925  ,0.387797
0.020000,10.484214,16.816681,4.887479 ,4.424229,1.665636    ,-0.596191  ,0.391737
0.020000,10.566541,16.850875,4.976625 ,4.457297,1.653406    ,-0.611513  ,0.395565
0.020000,10.649344,16.885634,5.066428 ,4.490124,1.641369    ,-0.601864  ,0.399279
0.020000,10.732620,16.920949,5.156882 ,4.522722,1.629887    ,-0.574067  ,0.402875
0.020000,10.816365,16.956813,5.247983 ,4.555062,1.616995    ,-0.644622  ,0.406349
0.020000,10.900576,16.993218,5.339727 ,4.587180,1.605927    ,-0.553406  ,0.409697
0.020000,10.985252,17.030153,5.432108 ,4.619043,1.593130    ,-0.639822  ,0.412915
0.020000,11.070390,17.067610,5.525121 ,4.650673,1.581485    ,-0.582265  ,0.415999
0.020000,11.155989,17.105578,5.618763 ,4.682061,1.569403    ,-0.604118  ,0.418946
0.020000,11.242046,17.144047,5.713027 ,4.713201,1.556991    ,-0.620605  ,0.421751
0.020000,11.328562,17.183004,5.807908 ,4.744095,1.544729    ,-0.613067  ,0.424411
0.020000,11.415534,17.222437,5.903403 ,4.774747,1.532589    ,-0.607014  ,0.426922
0.020000,11.502964,17.262335,5.999506 ,4.805150,1.520151    ,-0.621903  ,0.429279
0.020000,11.590851,17.302684,6.096212 ,4.835302,1.507626    ,-0.626230  ,0.431480
0.020000,11.679195,17.343469,6.193517 ,4.865202,1.494996    ,-0.631497  ,0.433519
0.020000,11.767996,17.384677,6.291413 ,4.894847,1.482241    ,-0.637777  ,0.435392
0.020000,11.857257,17.426292,6.389898 ,4.924232,1.469221    ,-0.650977  ,0.437096
0.020000,11.946977,17.468298,6.488965 ,4.953354,1.456140    ,-0.654083  ,0.438626
0.020000,12.037159,17.510679,6.588609 ,4.982215,1.443010    ,-0.656455  ,0.439979
0.020000,12.127805,17.553418,6.688826 ,5.010805,1.429510    ,-0.675016  ,0.441149
0.020000,12.218917,17.596496,6.789608 ,5.039117,1.415631    ,-0.693965  ,0.442132
0.020000,12.310497,17.639895,6.890951 ,5.067157,1.401959    ,-0.683576  ,0.442924
0.020000,12.402549,17.683596,6.992849 ,5.094907,1.387541    ,-0.720904  ,0.443521
0.020000,12.495075,17.727578,7.095297 ,5.122373,1.373259    ,-0.714108  ,0.443917
0.020000,12.588078,17.771821,7.198287 ,5.149541,1.358423    ,-0.741793  ,0.444109
0.020000,12.681563,17.816303,7.301816 ,5.176409,1.343401    ,-0.751089  ,0.444090
0.020000,12.775533,17.861002,7.405875 ,5.202969,1.328016    ,-0.769262  ,0.443857
0.020000,12.869993,17.905893,7.510459 ,5.229215,1.312287    ,-0.786469  ,0.443404
0.020000,12.964946,17.950954,7.615562 ,5.255140,1.296218    ,-0.803442  ,0.442726
0.020000,13.060398,17.996158,7.721177 ,5.280735,1.279787    ,-0.821536  ,0.441818
0.020000,13.156353,18.041480,7.827297 ,5.305995,1.262973    ,-0.840695  ,0.440674
0.020000,13.252816,18.086893,7.933915 ,5.330910,1.245757    ,-0.860835  ,0.439290
0.020000,13.349792,18.132369,8.041024 ,5.355472,1.228120    ,-0.881846  ,0.437658
0.020000,13.447286,18.177880,8.148618 ,5.379673,1.210048    ,-0.903584  ,0.435774
0.020000,13.545305,18.223394,8.256688 ,5.403504,1.191531    ,-0.925876  ,0.433632
0.020000,13.643852,18.268883,8.365227 ,5.426959,1.172781    ,-0.937498  ,0.431225
0.020000,13.742934,18.314313,8.474228 ,5.450030,1.153517    ,-0.963173  ,0.428548
0.020000,13.842556,18.359652,8.583682 ,5.472699,1.133474    ,-1.002166  ,0.425594
0.020000,13.942724,18.404865,8.693581 ,5.494978,1.113938    ,-0.976810  ,0.422357
0.020000,14.043443,18.449918,8.803918 ,5.516834,1.092821    ,-1.055815  ,0.418829
0.020000,14.144720,18.494775,8.914684 ,5.538281,1.072336    ,-1.024249  ,0.415005
0.020000,14.246559,18.539397,9.025870 ,5.559302,1.051058    ,-1.063911  ,0.410878
0.020000,14.348966,18.583746,9.137467 ,5.579889,1.029352    ,-1.085297  ,0.406440
0.020000,14.451947,18.627782,9.249468 ,5.600042,1.007632    ,-1.086030  ,0.401685
0.020000,14.555456,18.671444,9.361809 ,5.617057,0.850744    ,-7.844397  ,0.396609
0.020000,14.659399,18.714650,9.474375 ,5.628276,0.560971    ,-14.488611 ,0.391209
0.020000,14.763684,18.757318,9.587050 ,5.633771,0.274722    ,-14.312455 ,0.385486
0.020000,14.868214,18.799371,9.699723 ,5.633614,-0.007839   ,-14.128088 ,0.379441
0.020000,14.972897,18.840733,9.812280 ,5.627883,-0.286552   ,-13.935642 ,0.373075
0.020000,15.077637,18.881329,9.924613 ,5.616658,-0.561261   ,-13.735429 ,0.366393
